run_id,iteration,individual_idx,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,feat_64,feat_65,feat_66,feat_67,feat_68,feat_69,feat_70,feat_71,feat_72,feat_73,feat_74,feat_75,feat_76,feat_77,feat_78,feat_79,class_weight_power,focal_gamma,learning_rate,dropout,hidden_size,num_layers,weight_decay,label_smoothing,batch_size,scheduler_patience,input_seq_length,class_weight_power_lower,focal_gamma_lower,learning_rate_lower,dropout_lower,hidden_size_lower,num_layers_lower,weight_decay_lower,label_smoothing_lower,batch_size_lower,scheduler_patience_lower,input_seq_length_lower,class_weight_power_upper,focal_gamma_upper,learning_rate_upper,dropout_upper,hidden_size_upper,num_layers_upper,weight_decay_upper,label_smoothing_upper,batch_size_upper,scheduler_patience_upper,input_seq_length_upper,pop_size,iterations,n_workers,min_features,epochs_per_eval,np_neighbors,pf_max,elitist_selection,elitist_constant,fitness
1c1596e6,-1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.3216493109297566,3.132800734187792,0.0012650911984480497,0.36936333160803103,189.77664941438533,2.6794491297440364,0.004281962379679738,0.13569699640711236,143.97386748142483,9.464292919784764,12.0,0.25,1.0,0.0008,0.18,100,2,0.001,0.06,32,6,12,0.4,4.0,0.003,0.45,200,3,0.018,0.2,160,12,12,12,70,15,5,100,2,0.18,True,0.28,-0.0
1c1596e6,-1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0.3783681871130288,2.578177604868978,0.0009921079302930365,0.2711426250570279,126.16429365501128,2.9435907894558664,0.004875861581860506,0.12093149748049015,145.72078887915478,9.77909148930875,12.0,0.25,1.0,0.0008,0.18,100,2,0.001,0.06,32,6,12,0.4,4.0,0.003,0.45,200,3,0.018,0.2,160,12,12,12,70,15,5,100,2,0.18,True,0.28,-0.014692318773873848
1c1596e6,-1,2,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0.29532700111387056,2.256764023180713,0.0011655630506231958,0.2783786567175635,129.10921991922558,2.4736695583532793,0.0027622709003216218,0.19724388591805342,56.216931498860674,6.213462178430805,12.0,0.25,1.0,0.0008,0.18,100,2,0.001,0.06,32,6,12,0.4,4.0,0.003,0.45,200,3,0.018,0.2,160,12,12,12,70,15,5,100,2,0.18,True,0.28,-0.1268779178089429
1c1596e6,-1,3,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0.3561507020593679,2.633636125663063,0.001145855208347906,0.25136184440961756,121.36108783594011,2.804490459125453,0.015302996792391617,0.08018240072486207,137.55667806477425,10.609777843013367,12.0,0.25,1.0,0.0008,0.18,100,2,0.001,0.06,32,6,12,0.4,4.0,0.003,0.45,200,3,0.018,0.2,160,12,12,12,70,15,5,100,2,0.18,True,0.28,-0.05202211259462724
1c1596e6,-1,4,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0.2539231163582006,1.1325466615408648,0.0009411129064284703,0.2334940575172364,138.76661231667973,2.9445663403609186,0.011012221873281967,0.06442119558257159,115.70546892263347,6.834609062829968,12.0,0.25,1.0,0.0008,0.18,100,2,0.001,0.06,32,6,12,0.4,4.0,0.003,0.45,200,3,0.018,0.2,160,12,12,12,70,15,5,100,2,0.18,True,0.28,-0.0229995691818498
1c1596e6,-1,5,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0.3180232106714384,2.2134555830363167,0.0015649753432552432,0.2304945028886391,159.44924236553783,2.975695681060545,0.006147335075076485,0.09741770495764343,86.78111288427891,9.54499768230652,12.0,0.25,1.0,0.0008,0.18,100,2,0.001,0.06,32,6,12,0.4,4.0,0.003,0.45,200,3,0.018,0.2,160,12,12,12,70,15,5,100,2,0.18,True,0.28,-0.01226115621826325
1c1596e6,-1,6,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0.36556884770932535,3.035508031040046,0.002332360961398561,0.25304157107005076,111.03803647854123,2.886729433351138,0.004831710427595391,0.1363185836458355,80.44362547825114,9.715576312450635,12.0,0.25,1.0,0.0008,0.18,100,2,0.001,0.06,32,6,12,0.4,4.0,0.003,0.45,200,3,0.018,0.2,160,12,12,12,70,15,5,100,2,0.18,True,0.28,-0.006051737699067092
1c1596e6,-1,7,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0.2848617309048651,3.200974160657884,0.002090281950990656,0.24789999131016122,149.81312241841542,2.5286526498027566,0.008401622217266043,0.08420966552933079,129.04018265788727,6.380077243629652,12.0,0.25,1.0,0.0008,0.18,100,2,0.001,0.06,32,6,12,0.4,4.0,0.003,0.45,200,3,0.018,0.2,160,12,12,12,70,15,5,100,2,0.18,True,0.28,-0.0
1c1596e6,-1,8,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0.34803917484596414,3.564758069230521,0.0012846902151418395,0.40554383414429324,106.45465741592386,2.5030707166767394,0.017347513864349802,0.19624494872967052,138.76524449816947,9.238360457524855,12.0,0.25,1.0,0.0008,0.18,100,2,0.001,0.06,32,6,12,0.4,4.0,0.003,0.45,200,3,0.018,0.2,160,12,12,12,70,15,5,100,2,0.18,True,0.28,-0.0
1c1596e6,-1,9,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0.3448098021141239,3.0278428305046337,0.0023329727247077122,0.26793332909365924,106.09111901182992,2.8667055331086195,0.0014117993694421137,0.16097823523114368,107.3384740397881,10.782994092861546,12.0,0.25,1.0,0.0008,0.18,100,2,0.001,0.06,32,6,12,0.4,4.0,0.003,0.45,200,3,0.018,0.2,160,12,12,12,70,15,5,100,2,0.18,True,0.28,-0.0
