run_id,iteration,individual_idx,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,feat_64,feat_65,feat_66,feat_67,class_weight_power,focal_gamma,learning_rate,dropout,hidden_size,num_layers,weight_decay,label_smoothing,batch_size,scheduler_patience,input_seq_length,kernel_size,num_conv_layers,class_weight_power_lower,focal_gamma_lower,learning_rate_lower,dropout_lower,hidden_size_lower,num_layers_lower,weight_decay_lower,label_smoothing_lower,batch_size_lower,scheduler_patience_lower,input_seq_length_lower,kernel_size_lower,num_conv_layers_lower,class_weight_power_upper,focal_gamma_upper,learning_rate_upper,dropout_upper,hidden_size_upper,num_layers_upper,weight_decay_upper,label_smoothing_upper,batch_size_upper,scheduler_patience_upper,input_seq_length_upper,kernel_size_upper,num_conv_layers_upper,pop_size,iterations,n_workers,min_features,epochs_per_eval,np_neighbors,pf_max,elitist_selection,elitist_constant,fitness
6064e65d,-1,10,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0.26520893651063,3.8308025261929344,0.002882972908213042,0.33731052779569937,255.80208971805462,1.2381631070037056,0.0021230887825358985,0.12146322770673337,100.29849362722464,11.586293341357171,16.0,4.9790297387328195,1.6065214969272896,0.25,1.0,0.0005,0.15,128,1,0.0005,0.05,32,5,16,3,1,0.4,4.0,0.003,0.45,320,3,0.02,0.2,160,15,16,7,3,12,70,15,1,100,2,0.18,True,0.15,-0.0709937229102138
6064e65d,-1,11,0,1,0,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0.37227894941155243,3.092987728322128,0.002201586588691214,0.16905338292488808,264.56543924729317,1.9114517885255955,0.00791363188328103,0.07035302051447627,79.80021674939508,10.398453290625223,16.0,6.203393375541142,2.779182186768104,0.25,1.0,0.0005,0.15,128,1,0.0005,0.05,32,5,16,3,1,0.4,4.0,0.003,0.45,320,3,0.02,0.2,160,15,16,7,3,12,70,15,1,100,2,0.18,True,0.15,-0.06279563931375551
6064e65d,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0.3574761218005382,1.6972346180973021,0.00233414513388157,0.3259475387714531,176.28443826500353,1.9962624483683085,0.010808726671153755,0.11530843132881805,54.13455134110244,12.581264270147443,16.0,5.642599773490852,1.16360992989822,0.25,1.0,0.0005,0.15,128,1,0.0005,0.05,32,5,16,3,1,0.4,4.0,0.003,0.45,320,3,0.02,0.2,160,15,16,7,3,12,70,15,1,100,2,0.18,True,0.15,-0.17029342442686066
6064e65d,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0.2880758833188924,3.3189214407222316,0.0020476768009790197,0.18296523356494576,276.180264227469,1.3242017783618003,0.018019795992854967,0.05299188129157225,85.66994025473682,9.11230241217263,16.0,4.830317224439671,1.054471457616674,0.25,1.0,0.0005,0.15,128,1,0.0005,0.05,32,5,16,3,1,0.4,4.0,0.003,0.45,320,3,0.02,0.2,160,15,16,7,3,12,70,15,1,100,2,0.18,True,0.15,-0.13001145710581116
6064e65d,0,2,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0.39812762247331046,1.4251059356562954,0.0022108833813526407,0.24767952094208978,220.5549836580091,1.6530334601588785,0.0006703044165086815,0.15132325188942788,84.99994572436454,8.069325505076716,16.0,3.2576720921148055,2.684559272848481,0.25,1.0,0.0005,0.15,128,1,0.0005,0.05,32,5,16,3,1,0.4,4.0,0.003,0.45,320,3,0.02,0.2,160,15,16,7,3,12,70,15,1,100,2,0.18,True,0.15,-0.12321972893766305
6064e65d,0,3,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0.33864179965572355,1.9078240003042926,0.0016880540119949968,0.23015959226376176,252.2834473915856,1.9656227852820891,0.005191809117541522,0.12282628448468527,124.89811844521314,6.0634003089692765,16.0,3.8296137622715483,2.173623533472796,0.25,1.0,0.0005,0.15,128,1,0.0005,0.05,32,5,16,3,1,0.4,4.0,0.003,0.45,320,3,0.02,0.2,160,15,16,7,3,12,70,15,1,100,2,0.18,True,0.15,-0.08380193398662635
6064e65d,0,4,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0.26520893651063,3.8308025261929344,0.002882972908213042,0.33731052779569937,255.80208971805462,1.2381631070037056,0.0021230887825358985,0.12146322770673337,100.29849362722464,11.586293341357171,16.0,4.9790297387328195,1.6065214969272896,0.25,1.0,0.0005,0.15,128,1,0.0005,0.05,32,5,16,3,1,0.4,4.0,0.003,0.45,320,3,0.02,0.2,160,15,16,7,3,12,70,15,1,100,2,0.18,True,0.15,-0.0709937229102138
6064e65d,0,5,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,1,0.37227894941155243,1.0,0.002201586588691214,0.3047837759689661,188.48587509029596,1.9114517885255955,0.0005,0.2,88.79245821217135,10.398453290625223,16.0,6.203393375541142,2.779182186768104,0.25,1.0,0.0005,0.15,128,1,0.0005,0.05,32,5,16,3,1,0.4,4.0,0.003,0.45,320,3,0.02,0.2,160,15,16,7,3,12,70,15,1,100,2,0.18,True,0.15,-0.3353909507510961
6064e65d,0,6,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0.3651226598576274,2.184555516959911,0.002223966855817635,0.3103263384513736,191.04816456568764,1.477215822520403,0.0059750346898342546,0.12396930831804578,56.9690433543106,14.830820665925318,16.0,5.445919171093138,2.1237863957434406,0.25,1.0,0.0005,0.15,128,1,0.0005,0.05,32,5,16,3,1,0.4,4.0,0.003,0.45,320,3,0.02,0.2,160,15,16,7,3,12,70,15,1,100,2,0.18,True,0.15,-0.15444538891693968
6064e65d,0,7,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0.3806675797718045,3.205447314306424,0.0029082576399529782,0.26555876930764455,222.85512040970048,2.3078215097587944,0.008692861375305025,0.13589618599963996,71.5099520379183,14.308774361164785,16.0,3.8245572727205324,2.9794408705172803,0.25,1.0,0.0005,0.15,128,1,0.0005,0.05,32,5,16,3,1,0.4,4.0,0.003,0.45,320,3,0.02,0.2,160,15,16,7,3,12,70,15,1,100,2,0.18,True,0.15,-0.13691992354743512
6064e65d,0,8,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0.34288940781126587,3.3905117705534416,0.0026121648457110846,0.44292735402789885,171.72239636020515,1.7024516236379015,0.015037012020308684,0.07999704053198248,72.74499854840694,7.808052436187944,16.0,5.5538829658610664,2.7826095476907966,0.25,1.0,0.0005,0.15,128,1,0.0005,0.05,32,5,16,3,1,0.4,4.0,0.003,0.45,320,3,0.02,0.2,160,15,16,7,3,12,70,15,1,100,2,0.18,True,0.15,-0.0
6064e65d,0,9,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0.3462457820008769,2.9552305435571613,0.003,0.30281323430864915,179.7088263149103,2.0933189998124697,0.014018161432095113,0.18435657227084268,79.04645104798578,9.723691619771953,16.0,4.173257752785656,2.1748493136968245,0.25,1.0,0.0005,0.15,128,1,0.0005,0.05,32,5,16,3,1,0.4,4.0,0.003,0.45,320,3,0.02,0.2,160,15,16,7,3,12,70,15,1,100,2,0.18,True,0.15,-0.1317037852309048
6064e65d,0,10,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0.2860654151564419,3.5498076426531617,0.0019956133711084576,0.16597131683411842,275.7330658744828,1.137638541154294,0.018043781980044207,0.05,80.47812604078207,8.907329270286526,16.0,4.4157955975297885,1.0237629670348758,0.25,1.0,0.0005,0.15,128,1,0.0005,0.05,32,5,16,3,1,0.4,4.0,0.003,0.45,320,3,0.02,0.2,160,15,16,7,3,12,70,15,1,100,2,0.18,True,0.15,-0.04857521785775948
6064e65d,0,11,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0.34665424505231424,2.669793426245187,0.0011554023506152138,0.4433920919809703,285.47567278297333,2.9977600463706784,0.015005424744539366,0.1421690987529034,123.73905933302156,13.422848685009445,16.0,5.614377995892377,2.7098387128203476,0.25,1.0,0.0005,0.15,128,1,0.0005,0.05,32,5,16,3,1,0.4,4.0,0.003,0.45,320,3,0.02,0.2,160,15,16,7,3,12,70,15,1,100,2,0.18,True,0.15,-0.0
6064e65d,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,1,0.37227894941155243,1.0,0.002201586588691214,0.3047837759689661,188.48587509029596,1.9114517885255955,0.0005,0.2,88.79245821217135,10.398453290625223,16.0,6.203393375541142,2.779182186768104,0.25,1.0,0.0005,0.15,128,1,0.0005,0.05,32,5,16,3,1,0.4,4.0,0.003,0.45,320,3,0.02,0.2,160,15,16,7,3,12,70,15,1,100,2,0.18,True,0.15,-0.3353909507510961
6064e65d,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0.3574761218005382,1.6972346180973021,0.00233414513388157,0.3259475387714531,176.28443826500353,1.9962624483683085,0.010808726671153755,0.11530843132881805,54.13455134110244,12.581264270147443,16.0,5.642599773490852,1.16360992989822,0.25,1.0,0.0005,0.15,128,1,0.0005,0.05,32,5,16,3,1,0.4,4.0,0.003,0.45,320,3,0.02,0.2,160,15,16,7,3,12,70,15,1,100,2,0.18,True,0.15,-0.17029342442686066
6064e65d,1,2,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0.3651226598576274,2.184555516959911,0.002223966855817635,0.3103263384513736,191.04816456568764,1.477215822520403,0.0059750346898342546,0.12396930831804578,56.9690433543106,14.830820665925318,16.0,5.445919171093138,2.1237863957434406,0.25,1.0,0.0005,0.15,128,1,0.0005,0.05,32,5,16,3,1,0.4,4.0,0.003,0.45,320,3,0.02,0.2,160,15,16,7,3,12,70,15,1,100,2,0.18,True,0.15,-0.15444538891693968
6064e65d,1,3,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0.3806675797718045,3.205447314306424,0.0029082576399529782,0.26555876930764455,222.85512040970048,2.3078215097587944,0.008692861375305025,0.13589618599963996,71.5099520379183,14.308774361164785,16.0,3.8245572727205324,2.9794408705172803,0.25,1.0,0.0005,0.15,128,1,0.0005,0.05,32,5,16,3,1,0.4,4.0,0.003,0.45,320,3,0.02,0.2,160,15,16,7,3,12,70,15,1,100,2,0.18,True,0.15,-0.13691992354743512
6064e65d,1,4,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0.3462457820008769,2.9552305435571613,0.003,0.30281323430864915,179.7088263149103,2.0933189998124697,0.014018161432095113,0.18435657227084268,79.04645104798578,9.723691619771953,16.0,4.173257752785656,2.1748493136968245,0.25,1.0,0.0005,0.15,128,1,0.0005,0.05,32,5,16,3,1,0.4,4.0,0.003,0.45,320,3,0.02,0.2,160,15,16,7,3,12,70,15,1,100,2,0.18,True,0.15,-0.1317037852309048
6064e65d,1,5,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0.2880758833188924,3.3189214407222316,0.0020476768009790197,0.18296523356494576,276.180264227469,1.3242017783618003,0.018019795992854967,0.05299188129157225,85.66994025473682,9.11230241217263,16.0,4.830317224439671,1.054471457616674,0.25,1.0,0.0005,0.15,128,1,0.0005,0.05,32,5,16,3,1,0.4,4.0,0.003,0.45,320,3,0.02,0.2,160,15,16,7,3,12,70,15,1,100,2,0.18,True,0.15,-0.13001145710581116
6064e65d,1,6,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0.39812762247331046,1.4251059356562954,0.0022395816084836624,0.3026385026002191,188.57870880010412,1.6530334601588785,0.0006703044165086815,0.19356352848526348,83.62656906452585,8.069325505076716,16.0,5.919980205028255,2.684559272848481,0.25,1.0,0.0005,0.15,128,1,0.0005,0.05,32,5,16,3,1,0.4,4.0,0.003,0.45,320,3,0.02,0.2,160,15,16,7,3,12,70,15,1,100,2,0.18,True,0.15,-0.24148329779810335
6064e65d,1,7,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0.36155624582575663,1.709364356886192,0.0016880540119949968,0.23015959226376176,241.05489062447418,1.8539076466020123,0.003979030445081666,0.1314547420653029,124.89811844521314,6.740831744443348,16.0,3.8296137622715483,2.173623533472796,0.25,1.0,0.0005,0.15,128,1,0.0005,0.05,32,5,16,3,1,0.4,4.0,0.003,0.45,320,3,0.02,0.2,160,15,16,7,3,12,70,15,1,100,2,0.18,True,0.15,-0.14841971421311337
6064e65d,1,8,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0.26520893651063,3.8308025261929344,0.002882972908213042,0.33731052779569937,255.80208971805462,1.2381631070037056,0.0021230887825358985,0.12146322770673337,100.29849362722464,11.586293341357171,16.0,4.9790297387328195,1.6065214969272896,0.25,1.0,0.0005,0.15,128,1,0.0005,0.05,32,5,16,3,1,0.4,4.0,0.003,0.45,320,3,0.02,0.2,160,15,16,7,3,12,70,15,1,100,2,0.18,True,0.15,-0.0709937229102138
6064e65d,1,9,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0.2860654151564419,3.5498076426531617,0.0019956133711084576,0.16597131683411842,275.7330658744828,1.137638541154294,0.018043781980044207,0.05,80.47812604078207,8.907329270286526,16.0,4.4157955975297885,1.0237629670348758,0.25,1.0,0.0005,0.15,128,1,0.0005,0.05,32,5,16,3,1,0.4,4.0,0.003,0.45,320,3,0.02,0.2,160,15,16,7,3,12,70,15,1,100,2,0.18,True,0.15,-0.04857521785775948
